,username,comment,reply,retweet,like,Sentimiento
10,Guillermo Lasso,"Hace más de 30 años trabajo junto a Iván Correa, próximo Secretario General de la Administración Pública. Doy fe que es un gran profesional, que desde el inicio de este proyecto político estuvo presente, apoyando cada paso en este camino hacia #ElEcuadorDelEncuentro. ",106,258,1500,0.8736794409365264
11,Guillermo Lasso,"El espíritu emprendedor y luchador de los ecuatorianos lo veo reflejado en @nielsolsenp, futuro Ministro de Turismo. Ecuador tiene un gran potencial turístico que debemos aprovechar. Saldremos adelante, reactivando al sector con promoción y respiro financiero.¡Encontrémonos! ",94,234,1400,0.9890250326482972
12,Guillermo Lasso,"Es con profunda emoción que hoy he venido hasta aquí acompañado de mi esposa María de Lourdes, mis hijos y mi familia. Muchas gracias por estar en los momentos más difíciles. Ellos han hecho este recorrido conmigo, sosteniéndome en cada paso con su apoyo incondicional.",331,677,500,1.772228793199484e-07
13,Guillermo Lasso,"El 47% votó por justicia económica, social y política. Por un país más equitativo y más solidario, valores y principios que compartimos.  Pero no es cierto que hayan votado por la impunidad, ni por la corrupción, ni por la intromisión en decisiones judiciales.",252,545,2400,2.6151418091663657e-08
14,Guillermo Lasso,"El 11 de Abril, Ecuador expresó su voluntad de cambiar. Muchos vinieron con el regalo de la gobernabilidad, hablaron del 47% que no votó por nosotros. Nunca aceptaré que se use a esos ecuatorianos y sus justísimos anhelos como moneda de cambio en un trueque político.",465,766,3700,4.6981966240767844e-07
15,Guillermo Lasso,"Las credenciales de Presidente de la República representan sueños, ideas y la confianza de todo un país que anhela bienestar. Estoy aquí, dispuesto a trabajar con el mismo idealismo que ha guiado mi lucha desde la niñez.¡ECUADOR DECIDIÓ CAMBIAR! ",401,639,3200,0.008956953754178806
16,Guillermo Lasso,"Hoy celebramos la exitosa culminación de un proceso electoral que se llevó a cabo de forma eficiente. Agradezco a las instituciones involucradas y a cada ecuatoriano que ejerció su derecho al voto. Como ciudadano, les digo GRACIAS de corazón por esta jornada democrática. ",142,427,2200,6.335791771246055e-05
17,Guillermo Lasso,"Es un orgullo anunciar que el Gobernador de Manabí será @juanfra_nunez, un defensor de la libertad, con quien he trabajado desde el inicio de este proyecto político en 2009. Confío en que su gestión devolverá la esperanza a los manabitas con una labor inclusiva y transparente. ",187,464,2500,0.0008369764634026763
18,Guillermo Lasso,Los daños causados por los ríos desbordados en Cuenca son graves. Familias necesitan atención urgente. El Dr. @ABorreroVega estará apoyando en las zonas afectadas. Fortaleceremos la gestión de riesgos y emergencias para tener una mayor capacidad de reacción.,107,317,1700,0.04132042064906016
19,Guillermo Lasso,A las 10h30 los invito a ser parte de la entrega de credenciales de Presidente y Vicepresidente de la República por parte del @cnegobec.Acompáñennos a celebrar la democracia y la voluntad popular. FB https://web.facebook.com/LassoGuillermo/posts/5556234064417791…YT https://youtu.be/uBuNa5Ghp5o#ElEcuadorDelEncuentro,153,371,1700,0.023114561226832104
20,Guillermo Lasso,"Desde el Ministerio de Salud Pública, @XimenaGarzon11 trabajará por vacunar a los ecuatorianos y fortalecer la atención en hospitales y centros de salud a nivel nacional. El sistema de salud en Ecuador será eficiente y transparente.  #EncontrémonosPorLaSalud",199,246,1300,0.8916938611969283
21,Guillermo Lasso,"Los ministros del Frente Social tienen como objetivo mejorar la calidad de vida de los ecuatorianos bajo una visión de bienestar y solidaridad. En el Ecuador del encuentro, dialogamos y trabajamos por el cambio. ",197,254,1500,3.670225968670937e-05
22,Guillermo Lasso,"Hoy recuerdo con mucho cariño a mi mamá Nora Mendoza. Estoy agradecido por todas sus enseñanzas y el amor incondicional. Asimismo, celebro a María de Lourdes, la luz y guía de nuestras vidas, a mi hija Luli, a mis nueras y a todas las madres de mi familia. #DíaDeLaMadre",126,363,400,0.0003281908095230435
23,Guillermo Lasso,"Las madres son valientes, decididas y luchadoras. Ellas salen adelante con mucho esfuerzo y trabajo. Su fortaleza es motivo de celebración y conmemoración. Cuenten con nosotros siempre, estamos comprometidos con crear oportunidades y asegurar su bienestar. ¡Feliz #DíaDeLaMadre!",107,433,2500,0.004531028018554899
24,Guillermo Lasso,Junto a @BernardaOM enfocaremos los esfuerzos en la lucha contra la violencia y la ejecución de políticas públicas de bienestar. La Secretaría de DDHH tendrá sus puertas abiertas para dialogar y construir juntos un mejor país. #EncontrémonosPorLosDerechosHumanos,104,207,100,0.0518479799635098
25,Guillermo Lasso,"Es un orgullo para nosotros ver a nuestros hijos convertirse en grandes profesionales. María Mercedes, la menor, hoy se graduó de la universidad.Mis 5 hijos ya están graduados, siento una inmensa felicidad verlos crecer cada día y cumplir sus metas.",1.1K,100,17300,0.0005214217685302676
26,Guillermo Lasso,"Con gran responsabilidad y sentido social, llevaremos a cabo nuestro Plan de Gobierno y caminaremos juntos hacia el Ecuador del encuentro. ",222,390,2100,0.6756214189911909
27,Guillermo Lasso,“El Ecuador del encuentro empieza por un gran proceso de reconciliación nacional” - @BernardaOM. En la Secretaría de Derechos Humanos y en todas las carteras de Estado tenemos el compromiso de tender puentes de diálogo para juntos salir adelante. ,137,159,892,0.5790320343009145
28,Guillermo Lasso,Expresamos nuestras más sinceras condolencias al Asambleísta @MarceloSimbana y a sus familiares por la dolorosa pérdida de su padre Abdón Simbaña. Que Dios lo tenga en su gloria y que descanse en paz.,28,54,501,7.352004654919655e-05
29,Guillermo Lasso,"Trabajaremos desde la Secretaría de DDHH junto a @BernardaOM para: Luchar contra la violencia hacia las niñas y mujeres Aplicar políticas públicas que impulsen la economía violeta Fortalecer la educación, salud y justicia  La plena vigencia de todos los DDHH",235,288,1800,0.02735220941841153
30,Guillermo Lasso,"Las luchas de los trabajadores deben ser reconocidas y sus esfuerzos debidamente recompensados. La meta es empleos dignos, bien pagados y con seguridad social. Este #1deMayo ratificamos el compromiso de garantizar los derechos laborales y crear oportunidades.#DíaDelTrabajador",843,100,6300,0.015262685669389545
31,Guillermo Lasso,La revalorización de los docentes será una prioridad para el Ministerio de Educación. Ratificamos nuestro compromiso de trabajar por un sistema educativo que brinde bienestar para todos. #EncontrémonosPorLaEducación,473,307,1500,0.0005853590959450385
32,Guillermo Lasso,Vamos a transformar el sistema educativo. Trabajaremos por: Renovar la infraestructura física y tecnológica de las escuelas y colegios rurales Apoyo y revalorización de los docentes Impulsar una educación moderna y como derecho humano#EncontrémonosPorLaEducación ,755,737,4400,0.022189443632529417
33,Guillermo Lasso,"Prospera Ecuador es un programa de ayuda económica que se llevará a cabo desde el MIES, bajo la dirección de @maemontanov, para familias en situaciones vulnerables.",131,211,971,0.007592575627115981
34,Guillermo Lasso,"Como gobierno, las puertas siempre estarán abiertas. Fortaleceremos la relación con los ciudadanos a través de la transparencia de la información, canales abiertos de comunicación y un servicio de calidad. Lucharemos por el bienestar de todos los ecuatorianos. ",82,125,844,0.17791695334008714
35,Guillermo Lasso,"Desde el Ministerio de Inclusión Económica y Social, @maemontanov tendrá las siguientes prioridades:  Protección y movilidad social  Combatir la desnutrición crónica infantil  Apoyo integral a mujeres en emprendimiento, conciliación familiar y corresponsabilidad",77,198,1300,0.5260133153136082
36,Guillermo Lasso,"La función pública nos llama a ser ejemplares, a conversar abiertamente con la ciudadanía y a incluir sus ideas y propuestas. En este gobierno, la transparencia y la profunda vocación de servicio regirán el trabajo. ¡Este es el Ecuador del encuentro! ",316,363,2400,0.032692465627638764
37,Guillermo Lasso,"El Ecuador del encuentro es una nueva forma de hacer política, una que escucha y pone al ciudadano en el centro del servicio público. ",188,218,1300,0.764361402642908
38,Guillermo Lasso,Los Ministros del Frente Social https://vm.tiktok.com/ZMeCkKcNt/,326,552,3300,0.6129224004094284
39,Guillermo Lasso,"Agradezco al Presidente @EmmanuelMacron por sus buenos deseos para el Ecuador. Fortaleceremos la cooperación con Francia a través de una visión de desarrollo, bienestar y prosperidad. Celebro este compromiso de robustecer nuestra relación bilateral. ",133,680,4700,0.05225661701885398
40,Guillermo Lasso,Desde la Presidencia tendremos una Unidad Coordinadora de Vacunación dirigida por un empresario ecuatoriano que asumirá la tarea de apoyar al sistema de salud y al gobierno en el proceso de vacunación.,422,814,5300,0.0404480402196062
41,Guillermo Lasso,"Para nuestro gobierno será un honor contar con el liderazgo y preparación de la Dra. @XimenaGarzon11 en el Ministerio de Salud. Tenemos el reto más grande y noble: salvar el futuro de un país entero. Estamos seguros que lo vamos a lograr, la salud de las familias es prioridad.",227,642,2600,0.004866647341221065
42,Guillermo Lasso,"En la Secretaría del Deporte, que pronto será llamado Ministerio del Deporte, estará a cargo @SebasPalaciosSP. El deporte es un factor de Encuentro en la sociedad. Con su liderazgo, implementaremos proyectos que impulse a los héroes deportivos del presente y del futuro.",183,583,2900,0.04092340607116397
43,Guillermo Lasso,".@maemontanov va a liderar el Ministerio de Inclusión Económica y Social. Atenderá a los ecuatorianos más necesitados, aquellos que se encuentran en situación de vulnerabilidad. Trabajará por erradicar la desnutrición infantil, la pobreza y el hambre.",519,1100,6200,0.0004448186495469103
44,Guillermo Lasso,"Desde sus espacios, ellos se han dedicado a crear oportunidades y a luchar cada día por un mejor futuro. El Ecuador nos llama a ser funcionarios ejemplares. Como gobierno, tenemos la oportunidad de demostrar que la buena política puede lograr bienestar y seguridad para todos.",12,110,644,6.259165168608712e-05
45,Guillermo Lasso,"El país se expresó a favor de una nueva forma de hacer política, una que pone a los ciudadanos en el centro del servicio público, y a la que nosotros denominamos el Ecuador del Encuentro. Hoy presento a los ministros del Frente Social, ciudadanos comprometidos con el cambio. ",106,268,1900,0.0004066558112324143
46,Guillermo Lasso,"Acaba de fallecer el cantante indígena Jesús Fichamba de COVID-19, quien nos deja un gran legado con la composición de La Pinta, La Niña y La Santa María y varios éxitos artísticos. Mis más sinceras condolencias a sus seres queridos, que descanse en paz.",202,946,6300,0.007787896593542635
47,Guillermo Lasso,"Hoy a las 11h00, desde la ciudad de Quito, presentaremos a los ministros del Frente Social. Contamos con ciudadanos valiosos y comprometidos con el país. En mis redes sociales podrán unirse a la transmisión en vivo. YT: https://youtu.be/fvak2kCvDzEFB: https://web.facebook.com/LassoGuillermo/posts/5438253582882507…",83,228,100,0.8665223772377418
48,Guillermo Lasso,"Sigo con optimismo y con la voluntad de servir a los ecuatorianos. Estoy trabajando para formar el mejor equipo de gobierno que nos permita lograr un verdadero cambio. El Ecuador del encuentro es prosperidad, oportunidades y bienestar. : @ecuavisa.",258,357,2700,0.0011687947247625066
49,Guillermo Lasso,"Tenemos la responsabilidad de cuidar la tierra, nuestro hogar. Los invito a conocer más de cómo vamos a impulsar el liderazgo ambiental de Ecuador en: https://guillermolasso.ec/wp-content/uploads/2021/03/Lasso-Plan-Ecuador-Verde.pdf…#DíaDeLaTierra",39,109,658,0.0019495189476434235
50,Guillermo Lasso,"◦ Promover la responsabilidad social empresarial ◦ Fomentar la economía circular◦ Ecuador 3R (reducir, reutilizar y reciclar)◦ Forestación, reforestación y cuidado de manglares◦ Control Forestal Satelital◦ Respeto a las zonas intangibles◦ Educación verde",84,208,1200,0.018149176996591007
51,Guillermo Lasso,#DíaDeLaTierraEcuador enfrenta problemas ecológicos con repercusiones que se sienten en todo el país. Es fundamental promover políticas públicas de protección al ambiente y a las comunidades. Estas son unas de nuestras propuestas. ◦ Transición energética renovable,135,335,2100,0.09976703634749554
52,Alfredo Borrero,Hoy empezó el proceso de transición y desde ya nos encontramos trabajando para el futuro del Ecuador. Este es el inicio del cambio.,249,375,3200,0.0016966714578249386
53,Guillermo Lasso,"Este es el inicio del camino hacia un verdadero cambio. El Ecuador del encuentro lo construimos todos juntos, trabajando de la mano con los ciudadanos, quienes realmente tienen el poder de lograr un mejor país. GRACIAS, en mí tendrán a un Presidente que siempre los apoye.",361,937,6100,0.0029037305301798
54,Guillermo Lasso,Gracias Presidente @sebastianpinera. Es un honor poder servir a las familias ecuatorianas. Estamos listos para trabajar juntos por el progreso de toda la región. Chile y Ecuador continuarán unidos por la prosperidad de Latinoamérica. Un fuerte abrazo a los hermanos chilenos.,198,1100,8300,0.00021101632448502795
55,Guillermo Lasso,"Muchas gracias Presidente @IvanDuque por su compromiso con fortalecer la relación entre Colombia y Ecuador. Gracias por su invitación al país, desde ya empieza el trabajo por una América Latina más próspera y democrática.",165,1300,7700,0.0004087719593446165
56,Guillermo Lasso,Acabo de recibir la llamada de @ecuarauz para felicitarme por el triunfo de todos los ecuatorianos. Gracias por ratificar tu compromiso con el fortalecimiento de la democracia en nuestro país. Con El Ecuador del Encuentro ganamos todos. ,2.3K,7900,50600,0.0046668832144872475
57,Guillermo Lasso,"Este 11 de Abril, el ECUADOR ES PRIMERO. Necesitamos de ti para construir ese país que tanto soñamos y queremos para las futuras generaciones, uno con empleo, salud, bienestar y seguridad. #JuntosLoEstamosLogrando",117,764,300,0.00032073184866791767
58,Guillermo Lasso,"Me emociona tanto apoyo de los ecuatorianos. Con nuestro voto tenemos el instrumento más poderoso para que se cumplan nuestros sueños. Este domingo 11 de abril, encontrémonos por el Ecuador.#QueTuVozCuenteEstaVez#JuntosLoEstamosLogrando",322,1100,4400,1.0837759330932892e-05
59,Guillermo Lasso,"Por un Ecuador con igualdad de oportunidades, donde cada ecuatoriano tendrá la certeza de que contará con un Presidente que siempre los apoye, te invito a encontrarnos para lograrlo. Unidos vamos a construir un mejor país para todos. #JuntosLoEstamosLogrando",166,740,2400,0.009645510074035328
60,Guillermo Lasso,Estamos a 24 horas de lograr un verdadero cambio. #JuntosLoEstamosLogrando,614,2100,8400,0.014708158801145284
61,Guillermo Lasso,"Por un país moderno y globalizado, con libertad para emprender, atraer inversión y crear empleo, este domingo 11 de Abril ENCONTRÉMONOS PARA LOGRARLO. ¡GRACIAS ECUADOR! #JuntosLoEstamosLogrando",202,842,2900,0.628569953446597
62,Guillermo Lasso,CIERRE DE CAMPAÑA EN GUAYAQUIL. Los invito a este encuentro por el Ecuador desde mis redes sociales a la 1:00 PM. ¡EL CAMBIO VIENE! FB: https://facebook.com/LassoGuillermo/videos/472190753922669/…YT: https://youtu.be/k_kyNzLz8a8#JuntosLoEstamosLogrando #EncontrémonosParaLograrlo,118,404,1700,0.003832358911399032
63,Guillermo Lasso,"En 3 días, nos unimos por el cambio. ¡Juntos lo lograremos!#JuntosLoEstamosLogrando #EncontrémonosParaLograrlo",193,837,3200,0.02348216992024616
64,Guillermo Lasso,Este es el Ecuador del encuentro. El cambio está cerca y el país nos necesita más unidos que nunca para lograrlo. #JuntosLoEstamosLogrando#EncontrémonosParaLograrlo,100,490,1600,0.0782406046651605
65,Guillermo Lasso,Mi padre y la vida me enseñaron a querer y a estar agradecido con Quito. Este es mi mensaje a la ciudad y a todo el Ecuador a pocos días de las elecciones.#JuntosLoEstamosLogrando#EncontrémonosParaLograrlo,324,1200,400,0.8220134980340038
66,Guillermo Lasso,"Por las calles de Quito y en todo el Ecuador, la gente festeja porque el 11 de abril EL CAMBIO ES IMPARABLE. Este domingo, el futuro del país está en tus manos. Tu voto cambiará la historia y logrará que salgamos adelante. ¡SIN MIEDO A LOGRARLO!#JuntosLoEstamosLogrando",303,921,3800,0.000498997884423274
67,Guillermo Lasso,"Esta elección se trata del Ecuador, de tu futuro y el de tu familia. Con mucho entusiasmo, el domingo 11 de abril vamos a cambiar la historia juntos. ¡Cuento con ustedes! #JuntosLoEstamosLogrando",124,607,2200,4.235360715847346e-07
68,Guillermo Lasso,"¡Hemos recorrido todas las provincias de la Amazonía! Ayer en Zamora Chinchipe sentí más que nunca las ganas de trabajar unidos por el cambio.GRACIAS, mil veces gracias por su apoyo. Estamos aquí por ustedes y para lograr juntos un mejor Ecuador. #JuntosLoEstamosLogrando ",138,630,2600,1.587843158728958e-08
69,Guillermo Lasso,"Juntos podemos más. Todos los logros de mi vida significan muy poco comparados con el honor de servirlos. Este 11 de Abril, les pido de todo corazón que nos den esa oportunidad, votando por nosotros.#JuntosLoEstamosLogrando #EncontrémonosParaLograrlo",331,1200,3600,2.4467322142369876e-05
70,Guillermo Lasso,Cuento con ustedes para lograr juntos este gran cambio. #JuntosLoEstamosLogrando ,847,2400,9900,0.49569392960902553
71,Guillermo Lasso,Crearemos un programa de capacitación e impulso en temas tecnológicos y de programación para mujeres de todas las edades. Así lograremos promover su liderazgo en carreras científicas y tecnológicas.  #JuntosLoEstamosLogrando,103,441,1400,0.57388408693907
72,Guillermo Lasso,"La lucha por la igualdad y la erradicación de la violencia serán POLÍTICA DE ESTADO. Vamos por un Ecuador seguro, justo y más igualitario, donde todas las mujeres puedan caminar libres y sin miedo. #JuntosLoEstamosLogrando",97,490,1600,0.06320502599778725
73,Guillermo Lasso,"GRACIAS LOJA, PUDE SENTIR SU APOYO. Les agradezco sus ideas y propuestas de igualdad de oportunidades, llevar agua potable, crear empleo para las comunidades en zonas rurales y dar educación de calidad a los niños y jóvenes. Con entusiasmo, #JuntosLoEstamosLogrando. ",120,524,2300,4.573933212567359e-05
74,Guillermo Lasso,"El PLAN EQUIDAD RURAL ofrece a los agricultores: Asociatividad y mejores precios  Capacitación y asistencia técnica  Riego parcelario y maquinaria gratuita Salud, educación y vivienda  ¡Encontrémonos por el desarrollo de la agricultura!#EncontrémonosParaLograrlo",81,364,100,0.06607756578786912
75,Guillermo Lasso,"Hoy, desde Esmeraldas, me comprometo a que en mi Gobierno crearemos la Secretaría Técnica del Decenio Para Los Afrodescendientes para garantizar la resolución de la ONU que promueve el ejercicio de los derechos y las libertades del pueblo afrodescendiente.",389,100,4700,0.0004289117979355961
76,Guillermo Lasso,Daremos capital y capacitaciones a emprendedores a través de la iniciativa Fondo Semilla. Miles de ecuatorianos tendrán sus propios negocios y serán generadores de empleo. ¡Juntos lo estamos logrando! #EncontrémonosParaLograrlo,103,429,1300,0.051803754634193094
77,Guillermo Lasso,"Estamos logrando el despertar de nuestro país. Gracias por su apoyo, el cambio está cerca. #EncontrémonosParaLograrlo",374,1200,4900,0.024989703988878828
78,Guillermo Lasso,"Construiremos un Ecuador con trabajos dignos y bien pagados para todos. En nuestro gobierno, padres y madres, jóvenes, mujeres y adultos mayores cumplirán sus sueños en un país de oportunidades. ¡Lo estamos logrando! #EncontrémonosParaLograrlo",130,467,1400,0.014089165332307856
79,Guillermo Lasso,"En 8 días, ENCONTRÉMONOS POR EL ECUADOR. #EncontrémonosParaLograrlo ",312,964,3800,0.20441706087436898
80,Guillermo Lasso,Hace un año con @SalvarVidasEC empezamos a llevar insumos médicos a hospitales y centros de salud en los 221 cantones del Ecuador. Muchas gracias a los ecuatorianos que se han unido a esta causa. Nuestra labor para salvar vidas continúa.  #EncontrémonosParaLograrlo,124,456,1400,5.079122255111249e-05
81,Guillermo Lasso,"El Plan #EcuadorEsDeporte tiene 3 ejes: deporte como forma de vida, ecosistema y generador de referentes. ¡Juntos lo vamos a lograr! Gracias a todos los participantes y a @SebasPalaciosSP por impulsar este encuentro por el deporte. #EncontrémonosPorElDeporte",40,174,667,0.004131451034583313
82,Guillermo Lasso,"El deporte es bienestar. En Quito recibimos el Plan #EcuadorEsDeporte, hecho por la sociedad civil, deportistas y expertos. En el país hay talento inigualable que necesita apoyo y estas propuestas son el camino. Tienen mi compromiso para lograrlo, #EncontrémonosPorElDeporte. ",72,345,1400,0.0019124942883122942
83,Guillermo Lasso,"Hay talento y grandes niños y jóvenes que ponen al Ecuador en el mapa mundial del deporte. Apoyaremos a los deportistas con becas en universidades ecuatorianas, oportunidades de empleo y acompañamiento integral durante toda su carrera deportiva. #EncontrémonosPorElDeporte ",80,415,1300,0.019229076200752385
84,Sebastián Palacios,"Si bien acercamos a los dos candidatos el documento, @LassoGuillermo lo quiso recibir en persona y conversar con deportistas e integrantes del consejo consultivo  A partir de las 12h00 pueden seguir la transmisión en vivo desde http://facebook.com/SebasPalaciosSP",27,148,632,0.0006552289151092519
85,Guillermo Lasso,Les comparto esta entrevista junto a @LoganMois. ¡Espero que la disfruten!https://youtu.be/c9xVgx5imBg#EncontrémonosParaLograrlo,142,498,1700,0.0037871014071495677
86,Guillermo Lasso,A todos los emprendedores ecuatorianos: sueñen y emprendan. Nosotros impulsaremos su liderazgo con menos trabas y más libertad. Muchas gracias a la @aeiecuador y @Hora25Ec por promover este encuentro. #EncontrémonosParaLograrlo,195,490,1900,0.029696119793633166
87,Guillermo Lasso,Asumo el compromiso con la @aeiecuador de impulsar el emprendimiento. Trabajaremos con la sociedad civil para apoyar a los emprendedores y a la innovación. En mí van a encontrar a un Presidente que promoverá la libertad para emprender y el empleo.#EncontrémonosParaLograrlo,226,735,3200,0.003682738525395985
88,Guillermo Lasso,"En nuestro gobierno, todos los jóvenes tendrán la oportunidad de estudiar la carrera que ellos quieran.Garantizar el derecho a la educación es apoyar la libertad para estudiar.: ⁦@aeiecuador⁩, ⁦@Hora25Ec⁩.#EncontrémonosParaLograrlo",93,337,100,0.002202736658360829
89,Guillermo Lasso,"Los emprendimientos crean empleos y reactivan la economía. Fondo Semilla es nuestra iniciativa para apoyar el espíritu emprendedor de los ecuatorianos.: ⁦@aeiecuador⁩, ⁦@Hora25Ec⁩. #EncontrémonosParaLograrlo",96,361,100,0.18237857255749804
90,Guillermo Lasso,"Incrementaremos el presupuesto en investigación y desarrollo. Es el camino para impulsar el emprendimiento y la innovación. : ⁦@aeiecuador⁩, ⁦@Hora25Ec⁩.#EncontrémonosParaLograrlo",58,247,862,0.2938422953749897
91,Guillermo Lasso,"Con conectividad, podemos hablar de educación. Vamos a garantizar acceso a internet en zonas rurales y urbanas.: ⁦@aeiecuador⁩, ⁦@Hora25Ec⁩.#EncontrémonosParaLograrlo",55,217,714,0.01710936680469214
92,Guillermo Lasso,"¡Continuamos nuestro recorrido en Los Ríos!Aumentaremos los ingresos de las familias en Mocache con trabajos bien remunerados, iniciativas de emprendimiento y créditos baratos. Sueñan con un futuro seguro y lo vamos a lograr. Gracias por recibirnos en su hogar. ",101,318,1400,0.012459582849304042
93,Guillermo Lasso,La violencia hacia las mujeres en el campo y la ruralidad es grave. No podemos quedarnos con los brazos cruzados ante lo que atraviesan cada día. La lucha por la igualdad y la erradicación de la violencia serán políticas de Estado.#EncontrémonosParaLograrlo,66,309,100,1.7894578894868313e-05
94,Guillermo Lasso,"Los Ríos es una provincia agrícola con mucho potencial. Hoy me reuní con familias que se dedican a la agricultura en Valencia, conocí de su trabajo diario y sus preocupaciones. El Agro necesita apoyo integral, bienestar y EQUIDAD. Vamos a reactivar la economía rural. ",156,365,1600,4.057271906947846e-05
95,Guillermo Lasso,PLAN EQUIDAD RURAL ES  EDUCACIÓN SALUD SEGURIDAD  VIVIENDA EMPLEO Invertir en el campo y la ruralidad es el camino para lograr bienestar en todo el Ecuador.#EncontrémonosParaLograrlo,147,468,1400,0.14972692216303152
96,Guillermo Lasso,"Miles de agricultores como Roberto viven una situación insostenible. Hay que trabajar por un sector agrícola FUERTE, con acceso a créditos baratos, capacitación y asistencia técnica. Lograremos que el agro aumente su productividad y competitividad. #EncontrémonosParaLograrlo",120,345,1100,0.005384964482821179
97,Guillermo Lasso,"En Pichincha tuvimos maravillosos encuentros con miembros de comunidades indígenas y representantes de cooperativas de ahorro y crédito. En la tarde compartimos con jóvenes. TODOS queremos un Ecuador con bienestar, #EncontrémonosParaLograrlo. ¡GRACIAS! ",117,279,1100,0.0020466526099290248
98,Alfredo Borrero,"Nos reunimos con el Secretario del Estado de Maryland y conversamos sobre futuras capacitaciones de manejo de crisis y desastres para nuestros médicos y militares. Maryland tiene la Academia Naval más grande del país y el mejor hospital de Estados Unidos, Johns Hopkins Hospital.",88,416,1300,0.3941756770593965
99,Guillermo Lasso,"Los ecuatorianos ponemos la familia en el corazón como motor para luchar. Por eso crearemos empleos bien pagados que apoyen a la economía de los hogares. Padres y madres con trabajo logran bienestar, seguridad y felicidad.#EncontrémonosParaLograrlo",132,346,1200,0.9116764790464325
100,Guillermo Lasso,"El Dr. @ABorreroVega se encuentra trabajando para cumplir nuestra meta de vacunar a los ecuatorianos. Tendremos un Plan de Vacunación transparente, eficiente y solidario, tomando como referente a países como Estados Unidos y Chile. #EncontrémonosPorLaSalud",172,562,200,0.5651506513535989
101,Alfredo Borrero,Hoy junto con el taskforce de vacunación estuvimos compartiendo criterios médicos con el equipo del Dr. Fauci y recibimos asesoramiento para la lucha contra el Covid-19 del National Institute of Allergy and Infectious Diseases de USA.,96,450,1800,0.01242305237972053
102,Guillermo Lasso,"Sé que eres una persona trabajadora que lucha cada día por sus sueños. Por eso estoy aquí, para apoyarte y juntos salir adelante. SIN MIEDO A LOGRARLO. #Tandanakushun#EncontrémonosConPueblosYNacionalidades",192,670,2400,3.0215598287729734e-06
103,Guillermo Lasso,El agua es un recurso que debe ser valorado y consumido conscientemente. Es vital y urgente protegerlo para que todos los ecuatorianos accedan a agua limpia y de calidad. ¡AGUA PARA EL ECUADOR! #EncontrémonosParaLograrlo#DíaMundialDelAgua,80,204,776,0.0001754052111053343
104,Guillermo Lasso,Iniciamos el día en @ecuavisa y una cadena con radios de la Costa. Esta semana continuaremos encontrándonos con ecuatorianos en todo el país para lograr juntos un verdadero cambio. ¡Feliz lunes! Faltan 20 días para las elecciones. #EncontrémonosParaLograrlo,166,310,1900,0.08816964434164852
